loss,learning_rate,weight_decay,beta_a,beta_b,dropout,warmup_len,label_smoothing,batch_accum,n_head_pow,n_layers,lang,arch
9.667843676195242,7.412604121804946e-08,0.13593592392084666,0.9337671472506038,0.9235258740266964,0.3850868197236029,0.7175976628796161,0.2196259369671935,42,2,1,ru,electra
4.178770164676058,0.0005971350232227819,0.3593521037458202,0.9320250023998664,0.9726332843713835,0.8130827891655871,0.3919962816070037,0.572186698525736,38,0,3,ru,electra
6.501449107992421,0.35886841223276367,0.24087201348880566,0.9397512610045731,0.9217786633011718,0.4700683376425465,0.5229393955563759,0.04204789596708117,67,3,5,ru,electra
6.891131700789992,0.8164070530125347,0.7099026914367844,0.947539642614292,0.921999961642118,0.6965824952992945,0.170018178996346,0.43493216610212576,17,2,5,ru,electra
5.0755023956607905,0.07885943738791201,0.21827294032628702,0.9359485477643953,0.9732305231542957,0.38193611948813166,0.7233947614373872,0.8268934279877986,20,5,3,ru,electra
7.176510398867095,1.042639335556999e-05,0.6932604594373353,0.9887150786004005,0.9459114788365941,0.7477093356556547,0.8892587574652546,0.939546640226992,27,3,5,ru,electra
3.9064545161378965,0.0024711670669311857,0.8107045941628085,0.9870813147868549,0.9231179037117776,0.39684127735807506,0.2396624989871214,0.2223530931803187,22,2,4,ru,electra
4.483176507684177,0.0002679995150366543,0.847449053418199,0.9056045643026446,0.9601856578221964,0.5712159097305162,0.39436360799628356,0.6568109555669808,12,2,4,ru,electra
4.2067923095434105,0.0015844156921515085,0.5453946921278919,0.9684003251521202,0.9058380663652998,0.29757771817391604,0.6650426982675044,0.6827386510268542,83,5,2,ru,electra
8.574431087778681,0.0001754667044440175,0.6138923524400474,0.939225683158599,0.9591889144196406,0.8745979957507926,0.5250332915346282,0.9991307709890326,40,5,2,ru,electra
4.140696411755913,0.02106243171634887,0.45623579400273157,0.99999999,0.9,0.0,0.8460329339513164,0.2390638093851389,100,5,2,ru,electra
7.12153964212579,1.0,0.7749192782403089,0.9595451296620567,0.9044754948759237,0.0,0.9922593120857613,0.722319100636394,11,4,4,ru,electra
4.055152865002162,0.0040484148463026046,0.45651613838010824,0.9842859939168026,0.9015633607732857,0.10445289666206567,0.7441964583154954,0.43935025551450935,100,5,2,ru,electra
4.024608292041624,0.0010552686771063996,0.6435078029363704,0.9415158818782124,0.9462887524793946,0.4766451890257965,0.38476604742853576,0.3977566149788607,35,1,4,ru,electra
4.163384863979914,0.002391776059168983,0.9164207618072827,0.9999174795450291,0.9083186886078114,0.3095247747090658,0.2565427963091274,0.20143874910711035,30,3,3,ru,electra
4.261593466764276,0.0008589481453918174,0.5454890774074318,0.9368885492583426,0.9692571175018662,0.5967710496311631,0.3961804226172787,0.6373983539108402,14,0,6,ru,electra
3.9886336792919916,0.002231375363624105,0.7275964124492671,0.9799473997832269,0.9274398323419583,0.4209984176872491,0.26975102089581054,0.23722573910866396,27,2,4,ru,electra
4.5196354506833325,0.001807392847427704,0.0,0.9086220454441377,0.9718416548280195,0.3797555984657816,1.0,0.0,100,2,1,ru,electra
4.593646416977297,0.002892835734790687,0.9970156659460763,0.99999999,0.9112334776332026,0.34702954072535175,0.1528215644070327,0.26952815394016183,7,2,4,ru,electra
