loss,learning_rate,weight_decay,beta_a,beta_b,dropout,warmup_len,batch_accum,n_head_pow,n_layers,lang,arch
1.1403699369804532,3.7389327895720643e-05,0.8317037383130634,0.955077646657341,0.9495895449745905,0.8767884896490932,0.7369553710345709,41,1,5,it,sgns
1.2338670466927921,3.461893699411789e-05,0.1513308548743524,0.9421583023388407,0.9872102474507356,0.14178645473484522,0.06084264741380875,61,2,4,it,sgns
1.1335310251058317,0.10311256661907856,0.19499523284101367,0.9528335944935196,0.9641899764282847,0.8172291277927854,0.15576312070785128,94,5,2,it,sgns
77.36442748305377,4.398562430720933e-07,0.4964124477030101,0.9119518556938558,0.9677254708151355,0.696674084350808,0.5448204618705654,54,2,5,it,sgns
1.26805807205275,0.0007630532392003606,0.6733681306828364,0.9939827531342585,0.9805792918190356,0.6325356796208452,0.7483115564297732,100,1,2,it,sgns
1.1348082200405645,0.475936215341162,0.7029532798435837,0.9324667643707016,0.9498889507695683,0.8619678624014302,0.2649657134417172,37,5,2,it,sgns
1.1247146228271372,0.002078276319460874,0.6740279779097382,0.971775217904324,0.9126690898307627,0.018668176618214953,0.7128494056764739,7,4,5,it,sgns
220.66361292700674,2.75264858453771e-08,0.4100384014950994,0.9614544050847624,0.9965659687708884,0.0952558889007071,0.361175543954857,56,3,2,it,sgns
224.1505104262408,1.780242498611337e-08,0.7472100553118145,0.9733364473873326,0.9821870625262037,0.17716143935143214,0.4956361972068234,46,5,3,it,sgns
1.1471826526604447,2.515942497921739e-05,0.28108619227961734,0.9521824817386008,0.9383396097906312,0.8855008014490533,0.4901637925157438,37,0,6,it,sgns
1.1361404247564428,0.01515029188856878,1.0,0.99999999,0.99999999,0.9,1.0,100,0,1,it,sgns
1.2896031757803523,0.00015973031439507098,0.0,0.9,0.99999999,0.0,0.0,100,4,6,it,sgns
10.50249761544022,5.139614668392649e-06,1.0,0.9819503948466246,0.99999999,0.0,0.9070494862317429,100,5,1,it,sgns
1.131645479033975,1.0,0.0,0.99999999,0.9,0.0,1.0,100,0,6,it,sgns
1.1452052991530475,3.149217186196137e-05,0.02851908793270673,0.919759209615008,0.9115010462161669,0.9,0.308971148160388,15,0,6,it,sgns
1.128770471294721,0.036450576287099044,0.0,0.9,0.9,0.0,1.0,1,5,6,it,sgns
1.1364554925292145,0.7379170728295599,0.16016785208708886,0.9823792726791534,0.9168273849846894,0.19142196183315907,0.8044541590787233,84,1,6,it,sgns
1.130194686870949,0.002611123734346917,0.8831453661295173,0.99999999,0.9509784955514259,0.2263738535985718,0.8061514444627019,32,4,6,it,sgns
1.1305352244996556,0.007738777982179672,0.0,0.9,0.9,0.0,0.0,1,5,1,it,sgns
1.194077782827265,3.133003623217097e-05,0.9999978495474189,0.9844842929729808,0.9649174687699242,0.9,0.9266333311527669,57,0,6,it,sgns
1.1323246153382693,0.20836844503579285,1.0,0.9,0.9,0.0,1.0,1,0,6,it,sgns
1.1028592758622824,0.002348767578076209,0.6363469048765862,0.9058791893004788,0.9,0.9,0.39398622072944733,1,5,4,it,sgns
1.132126578583437,0.0003127002208630717,0.0,0.99999999,0.9,0.9,1.0,1,5,1,it,sgns
1.1292288973658693,0.0026087653833672584,0.0015332649650467056,0.99999999,0.9,0.9,1.0,1,5,1,it,sgns
1.1337232425703723,0.015978832909919614,1.0,0.9,0.9,0.9,0.0,1,5,6,it,sgns
1.1298147015150855,0.0549924782837058,1.0,0.9026687813920038,0.99999999,0.0,1.0,1,0,1,it,sgns
1.1495122357910754,3.211213595504194e-05,0.0,0.9,0.9,0.9,0.5868478501508885,1,5,6,it,sgns
1.1313920942942302,0.002618783477859886,1.0,0.9,0.9,0.9,0.0,1,0,1,it,sgns
1.1319984850135505,0.2258992743336215,0.192506976548323,0.99999999,0.99999999,0.0,1.0,100,5,1,it,sgns
1.1076938844942579,0.006356794538787234,1.0,0.9,0.9,0.8714479078505932,1.0,1,5,6,it,sgns
1.133778463620181,0.9050365304622278,1.0,0.9,0.987662902916049,0.9,1.0,1,5,1,it,sgns
